ID,Sammlungs-ID,Marke,Name,Abfüllserie,Status,"Deklariertes Alter",Größe,Stärke,Einheit,Fasstyp,Liste,Bewertung,"Meine Bewertung","Bezahlter Preis",Währung,"Mittlerer preis","Währung Whisky",Destillerien,Jahrgang,"Hinzugefügt am",Bild,Auktionspreis:,"Währung Whisky",Notizen,Kaufort
75571,5054072,Ardbeg,Corryvreckan,,open,,700,57.10,%vol,"Ex-Bourbon & French Oak",,86.67,,,,62.79,EUR,Ardbeg,,"2020-12-19 23:05:21",https://static.whiskybase.com/storage/whiskies/7/5/571/401540-normal.png,82.69,EUR,,
70079,5054075,Benromach,2006,"Peat Smoke",open,,700,46.00,%vol,"1st Fill Bourbon Barrels",,82.48,,,,59.48,EUR,Benromach,2006,"2020-12-19 23:06:13",https://static.whiskybase.com/storage/whiskies/7/0/079/116670-normal.png,52.42,EUR,,
100042,5054080,"The Deveron",12-year-old,,open,12,700,40.00,%vol,,,77.67,,,,36.87,EUR,Macduff,,"2020-12-19 23:07:33",https://static.whiskybase.com/storage/whiskies/1/0/0042/158771-normal.png,39.5,EUR,,
64426,5054085,Ardbeg,Corryvreckan,,open,,700,57.10,%vol,"Ex-Bourbon & French Oak",,88.80,,,,69,EUR,Ardbeg,,"2020-12-19 23:09:00",https://static.whiskybase.com/storage/whiskies/6/4/426/401569-normal.png,82.69,EUR,,
76483,5054094,Amrut,Fusion,,open,,700,50.00,%vol,"Oak Barrels",,86.00,,,,41.9,EUR,Amrut,,"2020-12-19 23:11:31",https://static.whiskybase.com/storage/whiskies/7/6/483/157592-normal.png,45.27,EUR,,
107228,5054104,Ardbeg,Ten,,open,10,700,46.00,%vol,"Bourbon Barrel",,84.65,,,,49.99,EUR,Ardbeg,,"2020-12-19 23:13:36",https://static.whiskybase.com/storage/whiskies/1/0/7228/226386-normal.png,45.67,EUR,,
64330,5054110,Bruichladdich,17-year-old,"Rum Cask Edition",open,17,700,46.00,%vol,"American Oak / Renegade Rum Finish",,84.12,,,,412.05,EUR,Bruichladdich,,"2020-12-19 23:16:30",https://static.whiskybase.com/storage/whiskies/6/4/330/158165-normal.png,115.9,EUR,,
44322,5054116,Auchroisk,"1997 MMcK","Càrn Mòr - Strictly Limited Edition",open,15,700,46.00,%vol,"Sherry Casks",,82.31,,,,78.95,EUR,Auchroisk,1997,"2020-12-19 23:18:13",https://static.whiskybase.com/storage/whiskies/4/4/322/79527-normal.png,44,EUR,,
51487,5054129,Hazelburn,08-year-old,,open,8,700,46.00,%vol,,,82.37,,,,197.53,EUR,Springbank,,"2020-12-19 23:20:42",https://static.whiskybase.com/storage/whiskies/5/1/487/81873-normal.png,77.25,EUR,,
163346,5054134,Arran,"Amarone Cask Finish",,empty,,700,50.00,%vol,"Amarone Cask Finish",,83.93,,,,58,EUR,Arran,,"2020-12-19 23:22:02",https://static.whiskybase.com/storage/whiskies/1/6/3346/276318-normal.png,71.21,EUR,,
80425,5054139,Bowmore,12-year-old,,open,12,700,40.00,%vol,,,81.71,,,,51.64,EUR,Bowmore,,"2020-12-19 23:23:20",https://static.whiskybase.com/storage/whiskies/8/0/425/124782-normal.png,33.93,EUR,,
42771,5054155,"Blair Athol","1999 McG","McGibbon's Provenance",open,12,700,46.00,%vol,"Refill Sherry Butt",,84.75,,,,58.72,EUR,"Blair Athol","Winter 1999","2020-12-19 23:26:01",https://static.whiskybase.com/storage/whiskies/4/2/771/78755-normal.png,38.29,EUR,,
96535,5054160,BenRiach,12-year-old,"Matured in Sherry Wood",open,12,700,46.00,%vol,"Oloroso & Pedro Ximénez Sherry Casks",,86.00,,,,99,EUR,BenRiach,,"2020-12-19 23:27:28",https://static.whiskybase.com/storage/whiskies/9/6/535/166236-normal.png,69.28,EUR,,
17727,5054185,Bushmills,12-year-old,"Distillery Reserve",open,12,700,40.00,%vol,"Mainly Old Spanish Oloroso Sherry Casks",,82.76,,,,80,EUR,Bushmills,,"2020-12-19 23:31:39",https://static.whiskybase.com/storage/whiskies/1/7/727/84021-normal.png,45.23,EUR,,
165266,5054195,Tomatin,2008,"Limited Edition",open,11,700,46.00,%vol,"Marsala Wine",,82.43,,,,61.78,EUR,Tomatin,19.09.2008,"2020-12-19 23:32:44",https://static.whiskybase.com/storage/whiskies/1/6/5266/320411-normal.png,77,EUR,,
146557,5054211,Kavalan,Selection,"Sherry Cask",closed,,700,58.60,%vol,"1st Fill Puncheon",,88.88,,,,299.9,EUR,Kavalan,17.12.2008,"2020-12-19 23:36:16",https://static.whiskybase.com/storage/whiskies/1/4/6557/248413-normal.png,224.95,EUR,,
146557,5054212,Kavalan,Selection,"Sherry Cask",closed,,700,58.60,%vol,"1st Fill Puncheon",,88.88,,,,299.9,EUR,Kavalan,17.12.2008,"2020-12-19 23:36:28",https://static.whiskybase.com/storage/whiskies/1/4/6557/248413-normal.png,224.95,EUR,,
19816,5054222,"Highland Park","1987 SV","Vintage Collection",open,22,700,43.00,%vol,Hogshead,,83.67,,,,90,EUR,"Highland Park",30.06.1987,"2020-12-19 23:39:24",https://static.whiskybase.com/storage/whiskies/1/9/816/169056-normal.png,95,EUR,,
53246,5054225,"Isle of Jura",Prophecy,"Heavily Peated",open,,700,46.00,%vol,"Bourbon & Sherry, Limousin Oak",,81.52,,,,82,EUR,"Isle of Jura",,"2020-12-19 23:40:54",https://static.whiskybase.com/storage/whiskies/5/3/246/223109-normal.png,58.52,EUR,,
145775,5054233,Springbank,10-year-old,,open,10,700,46.00,%vol,,,84.22,,,,49,EUR,Springbank,,"2020-12-19 23:42:43",https://static.whiskybase.com/storage/whiskies/1/4/5775/246588-normal.png,100.34,EUR,,
150235,5054239,Talisker,Skye,"Made by the Sea",open,,700,45.80,%vol,,,76.67,,,,29.9,EUR,Talisker,,"2020-12-19 23:44:37",https://static.whiskybase.com/storage/whiskies/1/5/0235/254393-normal.png,32.04,EUR,,
26758,5054241,Longrow,1997,"Burgundy Wood - Wood Expressions",open,14,700,56.10,%vol,"Bourbon & Burgundy Casks",,87.51,,,,500,EUR,Springbank,02.1997,"2020-12-19 23:46:00",https://static.whiskybase.com/storage/whiskies/2/6/758/71813-normal.png,294.92,EUR,,
64560,5054248,"Highland Park","1999 SV","The Un-Chillfiltered Collection",closed,15,700,46.00,%vol,"Bourbon Barrel",,86.33,,,,69.9,EUR,"Highland Park",15.10.1999,"2020-12-19 23:48:22",https://static.whiskybase.com/storage/whiskies/6/4/560/102205-normal.png,70.95,EUR,,
144143,5054254,"Port Askaig","100° Proof SMS",,open,,700,57.10,%vol,,,85.40,,,,66.85,EUR,"Caol Ila",,"2020-12-19 23:49:57",https://static.whiskybase.com/storage/whiskies/1/4/4143/222078-normal.png,56.09,EUR,,
9898,5054257,"Highland Park","1992 CA","Authentic Collection",open,17,700,64.00,%vol,"Sherry Butt",,85.00,,,,279.95,EUR,"Highland Park",1992,"2020-12-19 23:51:15",https://static.whiskybase.com/storage/whiskies/9/8/98/247627-normal.png,180.41,EUR,,
